year,age_5group,unemployment_rate,ci_lower,ci_upper,weighted_numerator,weighted_denominator,effective_n,unweighted_n
2016,50-54,4.345150179769507,4.170167233231995,4.527128660587056,418179.25203250005,9624045.999134667,50137.06802106714,67022
2016,55-59,3.8003004742503363,3.6160108472200343,3.9935932409752226,271959.29514883336,7156257.695715,39421.125669784196,54179
2016,60-64,3.3576403345368933,3.1078452265012624,3.6267613719286356,101296.871512,3016906.559944917,18538.573827222725,24449
2016,65-69,3.340500562707447,2.954583161473427,3.7748644212071234,28317.3007525,847696.3323589166,7395.690139524803,9403
2016,70-74,2.151142663891266,1.45003855811555,3.1802961861993104,2724.5417680833334,126655.55910433334,1116.778824653067,1408
2017,15-19,28.130438399902225,26.669379520531578,29.639187952018442,151770.93361425,539525.6606266667,3519.3221065839152,5514
2017,20-24,14.783748492621465,14.364913041797791,15.212626477614547,706546.64806725,4779211.7704105005,26937.919993569587,35533
2017,25-29,5.912595976888628,5.704451705518273,6.127841474881008,656455.2743460833,11102657.39299725,47694.94526650526,64524
2017,30-34,4.717523118364729,4.540244461106569,4.9013683978323055,522729.18619750004,11080585.575989667,52976.44724739754,70781
2017,35-39,4.145648194089585,3.980639034612171,4.317189924183887,427976.81968041667,10323519.981521334,53925.19032436979,71610
2017,40-44,3.8650470149239973,3.7136939287100006,4.022310872834105,369672.6359819167,9564505.542998834,59963.1243448001,77366
2017,45-49,3.915298797545704,3.7559638547954495,4.081106404808735,337146.71087825,8611008.464784084,54697.73671932253,70200
2017,50-54,4.080877282337034,3.912523448975616,4.256154415122815,373311.2545995,9147818.686322084,50953.486309364635,66193
2017,55-59,4.06261534912808,3.8745252682077838,4.259431723259689,296216.305203,7291271.256250584,40440.953872601414,54898
2017,60-64,3.2951461283466155,3.0501426422781632,3.5591071145415016,99225.92251066667,3011275.331830417,18924.263162351002,24943
2017,65-69,3.7147936978774694,3.288963758729753,4.193366287037145,35156.70773333334,946397.312815,6738.433113147925,8840
2017,70-74,2.0434104078097772,1.2649546691412643,3.2849906272276117,2981.9876359166665,145931.90014691665,791.7254859508697,1746
